new_subcategory,family,category,segment
PROTETOR AURICULAR,101-EPI,43-EQUIPAMENTOS,2-CASA E CONSTRUCAO
LIXA PROFISSIONAL,103-ACESSORIOS DE PINTURA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
PINCEL,103-ACESSORIOS DE PINTURA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
ROLO,103-ACESSORIOS DE PINTURA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
CHAVE FERRAMENTA,105-FERRAMENTAS DE CONSTRUCAO E CARPINTARIA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
BORRIFADOR/PULVERIZADOR,106-FERRAMENTAS DE JARDINAGEM,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
OUTRO,107-DIVERSOS HOME CENTER,45-DIVERSOS HOME CENTER,2-CASA E CONSTRUCAO
OVO,10-GRANJA,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
PASTILHA,110-PISOS E REVESTIMENTOS,46-ACABAMENTO,2-CASA E CONSTRUCAO
PISO,110-PISOS E REVESTIMENTOS,46-ACABAMENTO,2-CASA E CONSTRUCAO
CHUVEIROS E DUCHAS,111-CHUVEIROS E DUCHAS,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
ASSENTO SANITARIO,112-LOUCAS SANITARIAS,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
ACESSORIOS DE ELETRICA,115-ACESSORIOS DE ELETRICA,49-ELETRICA,2-CASA E CONSTRUCAO
SOQUETE,116-DUTOS E FIACAO,49-ELETRICA,2-CASA E CONSTRUCAO
INTERRUPTOR,118-QUADROS E INTERRUPTORES,49-ELETRICA,2-CASA E CONSTRUCAO
TOMADA,118-QUADROS E INTERRUPTORES,49-ELETRICA,2-CASA E CONSTRUCAO
LEGUMES,11-LEGUMES,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
RALO,122-CAIXAS E RESERVATORIOS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
TORNEIRA,123-REGISTROS E VALVULAS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
VALVULA DE GAS,123-REGISTROS E VALVULAS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
VEDA ROSCA,123-REGISTROS E VALVULAS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
MANGUEIRA DE GAS,124-TUBOS E CONEXOES,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
 SIFAO,124-TUBOS E CONEXOES,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
CORANTE DE PINTURA,125-TINTAS E SOLVENTES,52-PINTURA E VEDACAO,2-CASA E CONSTRUCAO
TINTA,125-TINTAS E SOLVENTES,52-PINTURA E VEDACAO,2-CASA E CONSTRUCAO
SILICONE DE VEDACAO,126-VEDACAO E IMPERMEABILIZACAO ,52-PINTURA E VEDACAO,2-CASA E CONSTRUCAO
OUTRA VERDURA,12-VERDURAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
ASPIRADOR,130-ELETROPORTATEIS CASA,54-ELETROPORTATEIS,3-ELETROMOVEIS
FERRO DE PASSAR,130-ELETROPORTATEIS CASA,54-ELETROPORTATEIS,3-ELETROMOVEIS
BATEDEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
CAFETEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
CHALEIRAELETRICA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
ESPREMEDORDEFRUTAS,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
FORNOELETRICO,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
FRITADEIRAELETRICA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
LIQUIDIFICADOR,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
MULTIPROCESSADOR,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
OMELETEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
