description,segment,category,subcategory
ACAI FROOTY 1 5L NATURAL,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS ACAI ACAI FROOTY 15L NATURAL
ACAI SPLIT ORIGINAL 1 5L,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS ACAI ACAI SPLIT ORIGINAL 15L
ACAI SPLIT ORIGINAL 1 5L,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS ACAI ACAI SPLIT ORIGINAL 15L
SORV NOBR CREME 1 5 L,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS SORVETE SORV NOBR CREME 15 L
SORV NOBR DUO CHO 1 8,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS SORVETE SORV NOBR DUO CHO 18
SORVETE LACTA 1l OREO,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS SORVETE SORVETE LACTA 1lOREO
PRATO FUNDO PLASVALE JATEADO 21 5cm,1-BENS DE CONSUMO,15-INSTRUMENTOS MUSICAIS,49-PERCURSAO PRATO PRATO FUNDO PLASVALE JATEADO 215cm
CERV ITAIPAVA 0 0  ALCOOL L/N355ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,55-CERVEJAS CERVEJA CERV ITAIPAVA 00  ALCOOL L/N355ML
WHISKY BALLANTINES 750ML FINEST,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BALLANTINES 750ML FINEST
WHISKY BALLANTINES FINEST 750ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BALLANTINES FINEST 750ML
WHISKY BALLANTINES FINEST 750ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BALLANTINES FINEST 750ML
WHISKY BALLANTINES FINEST 750ml,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BALLANTINES FINEST 750ML
WHISKY BALLANTINES FINEST 750ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BALLANTINES FINEST 750ML
WHISKY BALLANTINES FINEST GF 1L,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BALLANTINES FINEST GF 1L
WHISKY ESC BUCHANANS 12 ANOS 1L,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY ESC BUCHANANS 12 ANOS 1L
WHISKY ESC J  WALK RED LABEL 1L,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY ESC J  WALK RED LABEL 1L
